PATH,LINK_URL,STATUS,MESSAGE
2010-04-30-from-2006-how-odeo-screwed-up.md,http://gigaom.com/2006/09/14/evan-williams-how-odeo-screwed-up/,200,
2010-04-29-too-weird-for-the-wire.md,http://www.washingtonmonthly.com/features/2008/0805.carey.html,200,
2010-04-29-steve-jobss-thoughts-on-flash.md,http://www.apple.com/hotnews/thoughts-on-flash/,404,Request failed with status code 404
2010-04-29-marina-abramović-made-me-cry.md,http://marinaabramovicmademecry.tumblr.com/,200,
2010-04-29-iphone-4g-finder-has-been-found.md,http://www.wired.com/threatlevel/2010/04/iphone-finder/,200,
2010-04-29-elements-of-twitter-style.md,http://www.red-sweater.com/blog/1225/elements-of-twitter-style,200,
2010-04-28-we-have-met-the-enemy-and-he-is-powerpoint.md,http://www.nytimes.com/2010/04/27/world/27powerpoint.html?pagewanted=print,200,
2010-04-28-apple-announces-wwdc-10-dates-june-711.md,http://www.apple.com/pr/library/2010/04/28wwdc.html,200,
2010-04-27-amy-hoy-vs-engineerism.md,http://cheerfulsw.com/2010/dont-listen-to-le-corbusier—or-jakob-nielsen/,🚫,Request path contains unescaped characters
2010-04-21-an-abstraction-easy-to-ignore.md,http://www.scottberkun.com/blog/2010/inside-pixars-leadership/,200,
2010-04-04-the-soloist.md,http://zachholman.com/2010/04/the-soloist/,200,
2010-03-31-a-real-person-a-lot-like-you.md,http://sivers.org/real,200,
2010-03-30-weathermen-have-the-best-names.md,http://www.themorningnews.org/archives/oped/the_weathermen.php,200,
2010-03-30-the-best-fking-books-about-the-financial-crisis.md,http://paul.kedrosky.com/archives/2010/03/updated_the_bes.html,🚫,"Hostname/IP does not match certificate's altnames: Host: paul.kedrosky.com. is not in the cert's altnames: DNS:daviskedrosky.com, DNS:www.daviskedrosky.com"
2010-03-30-remember-swatch-internet-time.md,http://en.wikipedia.org/wiki/Swatch_Internet_Time,200,
2010-03-30-commuting.md,http://scienceblogs.com/cortex/2010/03/commuting.php,404,Request failed with status code 404
2010-03-26-24-is-officially-ending-this-season.md,http://www.thrfeed.com/2010/03/24-finale-.html,200,
2010-03-25-am-i-the-only-one-who-uses-a-text-editor-to-edit.md,http://blog.peepcode.com/tutorials/2010/file-navigation-in-text-editors,🚫,getaddrinfo ENOTFOUND blog.peepcode.com
2010-03-25-37signals-launches-highrise-for-iphone.md,http://37signals.com/svn/posts/2234-launch-highrise-for-iphone,🚫,unable to verify the first certificate
2010-03-13-dinosaur-comics-on-self-improvement.md,http://www.qwantz.com/index.php?comic=1672,200,
2010-03-12-nation-shudders-at-large-block-of-uninterrupted.md,http://www.theonion.com/content/news/nation_shudders_at_large_block_of,200,
2010-03-12-mark-wunschs-tumblr-gem-is-the-shit.md,http://mwunsch.github.com/tumblr/tumblr.1.html,404,Request failed with status code 404
